ORIG_KEGG	ID_CODE	ORGANISM_NAME
lpic	LP1	Lytechinus pictus
lvg	LVG	Lytechinus variegatus
ajj	AJJ	Apostichopus japonicus
aplc	AP3	Acanthaster planci
pmin	PM8	Patiria miniata
arun	AR4	Luidia clathrata
aamu	AA4	Asterias amurensis
afil	AF3	Amphiura filiformis
ajc	AJC	Anneissia japonica
sko	SKO	Saccoglossus kowalevskii
pfll	PF4	Ptychodera flava
dme	DME	Drosophila melanogaster
der	DER	Drosophila erecta
dse	DSE	Drosophila sechellia
dsi	DSI	Drosophila simulans
dya	DYA	Drosophila yakuba
dan	DAN	Drosophila ananassae
dsr	DSR	Drosophila serrata
dpo	DPO	Drosophila pseudoobscura
dpe	DPE	Drosophila persimilis
dmn	DMN	Drosophila miranda
dwi	DWI	Drosophila willistoni
dgr	DGR	Drosophila grimshawi
dmo	DMO	Drosophila mojavensis
daz	DAZ	Drosophila arizonae
dnv	DNV	Drosophila navojoa
dhe	DHE	Drosophila hydei
dvi	DVI	Drosophila virilis
ccat	CCB	Ceratitis capitata
bod	BOD	Bactrocera oleae
bdr	BDR	Bactrocera dorsalis
rze	RZE	Rhagoletis zephyria
aoq	AOQ	Anastrepha obliqua
alud	AL3	Anastrepha ludens
tda	TDA	Teleopsis dalmanni
mde	MDE	Musca domestica
scac	SC6	Stomoxys calcitrans
lcq	LCQ	Lucilia cuprina
lsq	LSQ	Lucilia sericata
cvj	CVJ	Calliphora vicina
gfs	GFS	Glossina fuscipes
ecoe	EC2	Eupeodes corollae
clon	CL4	Condylostylus longicornis
his	HIS	Hermetia illucens
aga	AGA	Anopheles gambiae
acoz	AC8	Anopheles coluzzii
aara	AA5	Anopheles arabiensis
amer	AM3	Anopheles merus
aste	AS5	Anopheles stephensi
amap	AM4	Anopheles maculipalpis
afun	AF4	Anopheles funestus
amou	AM5	Anopheles moucheti
amrs	AM6	Anopheles marshallii
anil	AN3	Anopheles nili
aali	AA6	Anopheles albimanus
adar	AD1	Anopheles darlingi
acos	AC9	Anopheles coustani
aag	AAG	Aedes aegypti
aalb	AA7	Aedes albopictus
asua	AS6	Armigeres subalbatus
cqu	CQU	Culex quinquefasciatus
cpii	CP7	Culex pipiens pallens
cbri	CB5	Culicoides brevitarsis
cns	CNS	Contarinia nasturtii
bcoo	BC1	Bradysia coprophila
lll	LLL	Lutzomyia longipalpis
ppap	PPA	Phlebotomus papatasi
ame	AME	Apis mellifera
acer	ACA	Apis cerana
alab	AL4	Apis laboriosa
adr	ADR	Apis dorsata
aflr	AF5	Apis florea
bim	BIM	Bombus impatiens
bbif	BB6	Bombus bifarius
bvk	BVK	Bombus vosnesenskii
bvan	BV1	Bombus vancouverensis nearcticus
bhun	BH1	Bombus huntii
bter	BT2	Bombus terrestris
baff	BA2	Bombus affinis
bpyo	BP2	Bombus pyrosoma
bpas	BP3	Bombus pascuorum
fvi	FVI	Frieseomelitta varia
ccal	CCC	Ceratina calcarata
obb	OBB	Osmia bicornis bicornis
olg	OLG	Osmia lignaria
mgen	MG1	Megalopta genalis
apur	AP4	Augochlora pura
nmea	NM2	Nomia melanderi
cgig	CG4	Colletes gigas
soc	SOC	Solenopsis invicta
mpha	MP3	Monomorium pharaonis
aec	AEC	Acromyrmex echinatior
acep	ACB	Atta cephalotes
acoc	ACC	Atta colombica
mzt	MZT	Mycetomoellerius zeteki
ccoa	CCD	Cyphomyrmex costatus
tcz	TCZ	Trachymyrmex cornetzi
tsep	TS1	Trachymyrmex septentrionalis
pbar	PB2	Pogonomyrmex barbatus
vem	VEM	Vollenhovia emeryi
cobs	CO1	Cardiocondyla obscurior
tln	TLN	Temnothorax longispinosus
tame	TA3	Temnothorax americanus
tny	TNY	Temnothorax nylanderi
hst	HST	Harpegnathos saltator
dqu	DQU	Dinoponera quadriceps
cfo	CFO	Camponotus floridanus
fex	FEX	Formica exsecta
pmec	PM9	Polyergus mexicanus
lhu	LHU	Linepithema humile
pgc	PGC	Pseudomyrmex gracilis
obo	OBO	Ooceraea biroi
pcf	PCF	Polistes canadensis
pfuc	PF5	Polistes fuscatus
vps	VPS	Vespula pensylvanica
vcrb	VC2	Vespa crabro
vve	VVE	Vespa velutina
nvi	NVI	Nasonia vitripennis
csol	CS7	Ceratosolen solmsi marchali
tpre	TP2	Trichogramma pretiosum
lht	LHT	Leptopilina heterotoma
lbd	LBD	Leptopilina boulardi
mdl	MDL	Microplitis demolitor
cglo	CG5	Cotesia glomerata
ctyp	CT3	Cotesia typhae
fas	FAS	Fopius arisanus
dam	DAM	Diachasma alloeum
agif	AG2	Aphidius gifuensis
cins	CI3	Chelonus insularis
vcan	VC3	Venturia canescens
ccin	CCE	Cephus cinctus
dsm	DSM	Diprion similis
npt	NPT	Neodiprion pinetum
nfb	NFB	Neodiprion fabricii
nlo	NLO	Neodiprion lecontei
nvg	NVG	Neodiprion virginianus
aroa	AR5	Athalia rosae
tca	TCA	Tribolium castaneum
tmol	TM1	Tenebrio molitor
dpa	DPA	Dendroctonus ponderosae
esim	ES1	Euwallacea similis
efor	EF2	Euwallacea fornicatus
soy	SOY	Sitophilus oryzae
rfg	RFG	Rhynchophorus ferrugineus
agrg	AG3	Anthonomus grandis grandis
atd	ATD	Aethina tumida
cset	CS8	Coccinella septempunctata
haxr	HA3	Harmonia axyridis
agb	AGB	Anoplophora glabripennis
ldc	LDC	Leptinotarsa decemlineata
dvv	DVV	Diabrotica virgifera virgifera
nvl	NVL	Nicrophorus vespilloides
dcor	DC1	Dalotia coriaria
apln	AP5	Agrilus planipennis
ppyr	PPB	Photinus pyralis
otu	OTU	Onthophagus taurus
bmor	BM2	Bombyx mori
bman	BM3	Bombyx mandarina
msex	MS2	Manduca sexta
dpl	DPL	Danaus plexippus
bany	BA3	Bicyclus anynana
mju	MJU	Maniola jurtina
niq	NIQ	Nymphalis io
vcd	VCD	Vanessa cardui
mcix	MC4	Melitaea cinxia
pmac	PMA	Papilio machaon
ppot	PPC	Papilio polytes
pxu	PXU	Papilio xuthus
bphi	BP4	Battus philenor
prap	PR5	Pieris rapae
pbx	PBX	Pieris brassicae
pnap	PN1	Pieris napi
zce	ZCE	Zerene cesonia
ccrc	CCF	Colias croceus
lsin	LS1	Leptidea sinapis
aage	AA8	Aricia agestis
haw	HAW	Helicoverpa armigera
hze	HZE	Helicoverpa zea
tnl	TNL	Trichoplusia ni
sliu	SL3	Spodoptera litura
ofu	OFU	Ostrinia furnacalis
onu	ONU	Ostrinia nubilalis
atra	AT2	Amyelois transitella
gmw	GMW	Galleria mellonella
eclr	EC3	Epargyreus clarus
pxy	PXY	Plutella xylostella
pgw	PGW	Pectinophora gossypiella
lgly	LG1	Leguminivora glycinivorella
cstb	CS9	Cydia strobilella
cfum	CF2	Choristoneura fumiferana
cfel	CF3	Ctenocephalides felis
ccrn	CCG	Chrysoperla carnea
api	API	Acyrthosiphon pisum
dnx	DNX	Diuraphis noxia
ags	AGS	Aphis gossypii
rmd	RMD	Rhopalosiphum maidis
acoo	ACD	Adelges cooleyi
dvt	DVT	Daktulosphaira vitifoliae
btab	BT3	Bemisia tabaci
dci	DCI	Diaphorina citri
clec	CL5	Cimex lectularius
hhal	HH3	Halyomorpha halys
nlu	NLU	Nilaparvata lugens
lda	LDA	Lycorma delicatula
hvi	HVI	Homalodisca vitripennis
mqu	MQU	Macrosteles quadrilineatus
phu	PHU	Pediculus humanus corporis
foc	FOC	Frankliniella occidentalis
tpal	TP3	Thrips palmi
zne	ZNE	Zootermopsis nevadensis
csec	CSA	Cryptotermes secundus
pame	PA6	Periplaneta americana
sgre	SG1	Schistocerca gregaria
bror	BR3	Bacillus rossius redtenbacheri
iel	IEL	Ischnura elegans
hamr	HA4	Hetaerina americana
fcd	FCD	Folsomia candida
dpx	DPX	Daphnia pulex
dmk	DMK	Daphnia magna
dpz	DPZ	Daphnia pulicaria
dcar	DC2	Daphnia carinata
afra	AF6	Artemia franciscana
pvm	PVM	Penaeus vannamei
pja	PJA	Penaeus japonicus
pchn	PCA	Penaeus chinensis
pmoo	PMB	Penaeus monodon
hame	HA5	Homarus americanus
pcla	PCB	Procambarus clarkii
cqd	CQD	Cherax quadricarinatus
ptru	PT5	Portunus trituberculatus
sprm	SP3	Scylla paramamosain
esn	ESN	Eriocheir sinensis
mnz	MNZ	Macrobrachium nipponense
mrj	MRJ	Macrobrachium rosenbergii
porn	PO1	Panulirus ornatus
hazt	HA6	Hyalella azteca
oot	OOT	Oratosquilla oratoria
eaf	EAF	Eurytemora carolleeae
lsm	LSM	Lepeophtheirus salmonis
tcf	TCF	Tigriopus californicus
ppoi	PPD	Pollicipes pollicipes
isc	ISC	Ixodes scapularis
dsv	DSV	Dermacentor silvarum
dalb	DA1	Dermacentor albipictus
rsan	RS1	Rhipicephalus sanguineus
rmp	RMP	Rhipicephalus microplus
hlg	HLG	Haemaphysalis longicornis
oti	OTI	Ornithodoros turicata
vde	VDE	Varroa destructor
vja	VJA	Varroa jacobsoni
goe	GOE	Galendromus occidentalis
tut	TUT	Tetranychus urticae
bobo	BO1	Brevipalpus obovatus
dpte	DP2	Dermatophagoides pteronyssinus
dfr	DFR	Dermatophagoides farinae
cscu	CSB	Centruroides sculpturatus
cvs	CVS	Centruroides vittatus
ptep	PT6	Parasteatoda tepidariorum
